,State,2014_total_production,2013_total_production,2012_total_production,2011_total_production,2010_total_production,2009_total_production,2008_total_production,2007_total_production,2006_total_production,2005_total_production,2004_total_production,2003_total_production,2002_total_production,2001_total_production,2000_total_production,1999_total_production,1998_total_production,1997_total_production,1996_total_production,1995_total_production,1994_total_production,1993_total_production,1992_total_production,1991_total_production,1990_total_production,1989_total_production,1988_total_production,1987_total_production,1986_total_production,1985_total_production,1984_total_production,1983_total_production,1982_total_production,1981_total_production,1980_total_production,1979_total_production,1978_total_production,1977_total_production,1976_total_production,1975_total_production,1974_total_production,1973_total_production,1972_total_production,1971_total_production,1970_total_production,1969_total_production,1968_total_production,1967_total_production,1966_total_production,1965_total_production,1964_total_production,1963_total_production,1962_total_production,1961_total_production,1960_total_production
35,OK,3572829,3137443,2950525,2704301,2576077,2615748,2601089,2465086,2352433,2286470,2319067,2183885,2221276,2295583,2279894,2281808,2388867,2456336,2528382,2614765,2784725,2943311,2929505,3089317,3230221,3238294,3265950,3211304,3183575,3297430,3385790,3052993,3254565,3289613,3103547,3004732,2970256,2993830,2893518,2788583,2936169,3131399,3263953,3153802,3125228,3044300,2870055,2920010,2817147,2666433,2660244,2557794,2379788,2143063,2072617
36,OR,479935,458848,496254,513597,393763,416869,415539,397522,433786,364629,385172,385279,401540,351128,437943,511214,455482,531838,518962,469175,371354,418087,424769,502826,554567,540349,541864,526399,612360,607232,644766,614386,614175,499664,459978,436189,425750,397686,457596,417411,432867,351043,435930,419311,371350,350230,271743,243110,232649,230410,215793,199225,197646,188915,190489
37,PA,7087392,5873742,4730336,3870671,3064745,2678606,2754212,2680628,2675287,2699023,2738401,2665802,2803457,2943795,2994330,3038170,3033231,2899160,2769506,2540935,2576320,2430789,2707141,2567653,2734828,2550433,2524877,2469436,2568902,2443585,2565990,2259530,2510746,2590734,2754250,2817141,2624011,2656280,2693107,2600519,2405291,2272244,2334285,2293855,2533833,2477570,2441040,2555545,2621381,2634472,2589342,2498460,2301652,2261652,2391326
38,RI,4304,2627,2822,3419,3399,3536,2931,2761,2609,879,3845,3787,3699,3898,4520,4403,4197,4347,5562,5079,5066,5181,4840,4585,4499,3806,3528,3302,4653,5081,4946,7401,6053,6645,7287,7124,6577,5295,4704,4050,5023,5108,4934,4851,5268,4428,4266,4150,3771,3561,3533,3221,3139,3011,2951
39,SC,675110,690644,646738,661898,649978,648442,633047,653022,628690,658754,631353,629251,637469,591368,623171,627969,641493,603327,589421,641367,579392,595393,587462,559611,559868,528627,514420,505923,466664,404650,332214,354360,214820,243288,261030,289748,296747,266529,280539,302097,203301,151111,129188,104730,65140,73251,69381,66271,68551,78226,88026,69832,73455,76284,81969
40,SD,249789,236679,248616,248370,225387,191200,155896,125963,123688,102808,92723,75918,63264,49691,71314,80564,71472,105290,95485,75271,66965,40263,51570,54098,54866,66136,73093,72713,75446,71685,73511,70236,69312,65375,69403,73636,77846,60799,77423,86697,63259,53129,79609,83910,71113,68335,60912,54570,53056,42866,35078,33031,18232,15196,15866
41,TN,499501,544916,468757,506701,505731,518597,482367,489760,476867,543467,561170,511003,526518,529708,464217,498130,529551,509141,512948,416394,391609,269549,426799,467007,475365,538389,359942,341748,334524,464327,533095,519810,489846,453710,410631,421332,403661,402678,385042,371050,359687,376109,457040,388305,347124,335115,336718,318963,287103,285439,292122,280926,301330,283981,287803
42,TX,17597105,15688922,14180982,12571450,11412134,11099789,11330502,10320471,9725728,9405433,9180431,9303135,9293559,9527389,9703716,9544713,10144323,10220550,10268512,10251697,10345130,10267745,10479542,10623944,10595793,10554378,10878885,10860833,11401133,11767792,11842948,11542934,12195702,12883301,13313318,13759135,13672353,14737917,15146096,15606107,16526142,17075213,17233854,16634803,16564914,15434106,14940178,14512711,13974822,13339085,13142827,12711827,12375349,12225380,12075806
43,UT,1170681,1122868,1118599,1128821,1073063,1127574,1169910,1080958,1082820,986225,884348,912214,972902,1056724,1039555,1029827,1040532,1044516,1048873,997284,1012565,914136,841803,842879,871632,798284,770390,721771,686362,653231,596262,540170,641508,590869,571863,519480,466809,468215,454901,484749,438640,385659,324311,304172,298105,303756,295325,298514,326913,345640,365590,377930,360005,373460,389446
44,VT,85874,84188,77979,80677,80143,87671,78212,68000,80888,66818,62272,70371,64092,60900,68820,63217,55515,64725,61765,59708,64174,53658,55119,60381,57751,58189,65319,60059,45647,58749,62206,57852,68888,64187,55378,59861,55961,57470,55339,55580,43842,34570,17783,14594,14717,16109,15086,15167,15557,14396,13500,13995,15682,15369,17339
45,VA,979780,1023009,1045095,1085234,1096973,1091601,1166178,1175284,1281848,1227078,1312064,1339712,1235691,1299968,1353578,1345664,1374511,1425094,1415651,1355520,1428208,1443702,1540033,1503985,1648623,1421432,1564786,1489365,1430255,1453516,1376564,1237990,1342331,1389484,1281987,1141733,1052520,1132028,1189016,1059319,1001866,1016281,1008832,907281,1025855,1031540,1066326,1058430,1030130,987837,920711,890108,864865,887666,824357
46,WA,1027404,1003330,1108998,1101186,907957,901518,976192,968246,1065892,976454,1001273,1006288,1073738,817372,1065140,1209424,1047369,1295775,1239930,1093397,921657,941511,945942,1134154,1146169,1002030,983317,980603,1107104,1074995,1102341,1106258,1115936,1172097,1057170,1022098,1123772,901856,1144321,1032431,1033339,884538,928962,863413,825416,814247,783235,702293,629703,582426,558451,517358,480508,458873,431849
47,WV,4154063,3809750,3720223,3820203,3699729,3734024,4188962,4155412,4106088,4136611,3976702,3765539,4047575,4330258,4339128,4242053,4640245,4685295,4614979,4457368,4446187,3613213,4490303,4648542,4687227,4242808,4051513,3792509,3601104,3556325,3625392,3195570,3559258,3160284,3326436,3106772,2355598,2633851,2980817,2980999,2868733,3240192,3405069,3289868,3958045,3830045,3946521,4117789,4015516,3999564,3798034,3577658,3228661,3092315,3237864
48,WI,298603,310413,333635,312552,329441,303526,303604,283955,272307,248432,232726,242783,231550,242028,233393,234340,206748,164290,230170,226820,227131,225028,226273,223497,221360,238461,278706,270951,280195,334387,331981,319059,309127,303842,295424,206051,218985,192382,188020,179422,157765,132712,101193,99388,60038,62804,65830,61003,60892,61690,54980,55114,61695,60619,64968
49,WY,9361755,9233869,9611304,10353148,10536570,10336869,10886190,10416795,10062253,9156148,9002214,8590378,8449084,8299346,7495961,7306693,6876206,6174129,6040021,5796682,5357870,4873001,4817100,4824903,4664376,4361366,4111037,3787513,3553143,3688642,3598337,3162143,3044510,3039457,2898469,2468777,2202779,1969220,1692906,1556424,1566537,1507152,1430380,1427671,1436981,1322803,1185859,1124539,1120354,1126993,1123349,1130588,1067967,1087858,1018174
